RA,DEC
19.9446,-26.8553
20.2421,-26.8553
20.186,-26.8557
20.2296,-26.8554
20.3115,-26.8602
20.1128,-26.8555
19.9875,-26.8562
20.0294,-26.8555
20.3323,-26.8553
20.0888,-26.8556
19.8036,-26.8553
20.1803,-26.8555
19.8296,-26.8554
19.8961,-26.8555
19.9823,-26.8556
19.9509,-26.857
20.0691,-26.8556
20.3355,-26.8554
20.2079,-26.8556
19.9225,-26.8556
20.3429,-26.8555
20.0602,-26.8558
19.8593,-26.8556
20.0536,-26.8558
20.1101,-26.8558
20.0959,-26.8559
20.3175,-26.8556
20.3625,-26.8567
20.0531,-26.8559
20.1437,-26.8559
20.0165,-26.856
20.098,-26.856
20.2446,-26.8558
19.8943,-26.8571
19.8952,-26.856
20.0986,-26.8561
20.2137,-26.8561
19.9949,-26.8561
19.811,-26.8559
19.9275,-26.8561
20.0991,-26.8567
19.9736,-26.8562
19.8543,-26.8561
20.1704,-26.8565
19.928,-26.8587
19.9774,-26.8562
19.8481,-26.8575
19.9978,-26.8563
19.9536,-26.8562
20.3652,-26.8561
20.294,-26.8562
20.2858,-26.8562
20.0767,-26.8565
19.7704,-26.8563
19.7941,-26.8561
19.9843,-26.8564
20.0541,-26.8564
20.244,-26.8563
19.7703,-26.8578
20.1049,-26.8564
20.3285,-26.8563
19.9658,-26.8566
19.8163,-26.8563
19.8515,-26.8564
19.9299,-26.8565
20.214,-26.8566
20.09,-26.8566
20.1032,-26.8567
19.7746,-26.8564
20.3249,-26.8565
19.8098,-26.8564
19.8228,-26.8566
20.2505,-26.857
20.2651,-26.8567
19.8747,-26.8567
20.1009,-26.857
20.2308,-26.8568
20.0439,-26.8569
20.0097,-26.8569
20.3309,-26.8567
20.2268,-26.8569
20.0727,-26.857
19.78,-26.8568
19.8389,-26.8568
20.0582,-26.8571
19.8343,-26.8569
20.0174,-26.8572
20.0301,-26.8572
20.3727,-26.8696
20.0446,-26.8572
20.3669,-26.8569
20.1508,-26.8608
20.0616,-26.8573
20.208,-26.8572
19.8214,-26.8571
19.7587,-26.8569
20.1485,-26.8573
19.9863,-26.8574
19.8116,-26.8582
19.8699,-26.8573
